Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry
M-001,150,1,1,1,0.086,
M-002,150,2,1,1,0.008666667,
M-003,150,2,1,1,0.002625,
M-004,500,,1,1,0.72,
M-005,500,,1,1,1.21,
